년월,지점,강수량(mm)
Jan-09,108,5.7
Feb-09,108,36.9
Mar-09,108,63.9
Apr-09,108,66.5
May-09,108,109
Jun-09,108,132
Jul-09,108,659.4
Aug-09,108,285.3
Sep-09,108,64.5
Oct-09,108,66.9
Nov-09,108,52.4
Dec-09,108,21.5
Jan-10,108,29.3
Feb-10,108,55.3
Mar-10,108,82.5
Apr-10,108,62.8
May-10,108,124
Jun-10,108,127.6
Jul-10,108,239.2
Aug-10,108,598.7
Sep-10,108,671.5
Oct-10,108,25.6
Nov-10,108,10.9
Dec-10,108,16.1
Jan-11,108,8.9
Feb-11,108,29.1
Mar-11,108,14.6
Apr-11,108,110.1
May-11,108,53.4
Jun-11,108,404.5
Jul-11,108,1131
Aug-11,108,166.8
Sep-11,108,25.6
Oct-11,108,32
Nov-11,108,56.2
Dec-11,108,7.1
Jan-12,108,6.7
Feb-12,108,0.8
Mar-12,108,47.4
Apr-12,108,157
May-12,108,8.2
Jun-12,108,91.9
Jul-12,108,448.9
Aug-12,108,464.9
Sep-12,108,212
Oct-12,108,99.3
Nov-12,108,67.8
Dec-12,108,41.4
Jan-13,108,22.1
Feb-13,108,74.1
Mar-13,108,27.3
Apr-13,108,71.7
May-13,108,132
Jun-13,108,28.3
Jul-13,108,676.2
Aug-13,108,148.6
Sep-13,108,138.5
Oct-13,108,13.5
Nov-13,108,46.8
Dec-13,108,24.7
Jan-14,108,13
Feb-14,108,16.2
Mar-14,108,7.2
Apr-14,108,31
May-14,108,63
Jun-14,108,98.1
Jul-14,108,207.9
Aug-14,108,172.8
Sep-14,108,88.1
Oct-14,108,52.2
Nov-14,108,41.5
Dec-14,108,17.9
Jan-15,108,11.3
Feb-15,108,22.7
Mar-15,108,9.6
Apr-15,108,80.5
May-15,108,28.9
Jun-15,108,99
Jul-15,108,226
Aug-15,108,72.9
Sep-15,108,26
Oct-15,108,81.5
Nov-15,108,104.6
Dec-15,108,29.1
Jan-16,108,1
Feb-16,108,47.6
Mar-16,108,40.5
Apr-16,108,76.8
May-16,108,160.5
Jun-16,108,54.4
Jul-16,108,358.2
Aug-16,108,67.1
Sep-16,108,33
Oct-16,108,74.8
Nov-16,108,16.7
Dec-16,108,61.1
Jan-17,108,14.9
Feb-17,108,11.1
Mar-17,108,7.9
Apr-17,108,61.6
May-17,108,16.1
Jun-17,108,66.6
Jul-17,108,621
Aug-17,108,297
Sep-17,108,35
Oct-17,108,26.5
Nov-17,108,40.7
Dec-17,108,34.8
Jan-18,108,8.5
Feb-18,108,29.6
Mar-18,108,49.5
Apr-18,108,130.3
May-18,108,222
Jun-18,108,171.5
Jul-18,108,185.6
Aug-18,108,202.6
Sep-18,108,68.5
Oct-18,108,120.5
Nov-18,108,79.1
Dec-18,108,16.4
Jan-19,108,0
Feb-19,108,23.8
Mar-19,108,26.8
Apr-19,108,47.3
May-19,108,37.8
Jun-19,108,74
Jul-19,108,194.4
Aug-19,108,190.5
Sep-19,108,139.8
Oct-19,108,55.5
Nov-19,108,78.8
Dec-19,108,22.6
Jan-20,108,60.5
Feb-20,108,53.1
Mar-20,108,16.3
Apr-20,108,16.9
May-20,108,112.4
Jun-20,108,139.6
Jul-20,108,270.4
Aug-20,108,675.7
Sep-20,108,181.5
Oct-20,108,0
Nov-20,108,120.1
Dec-20,108,4.6
Jan-21,108,18.9
Feb-21,108,7.1
Mar-21,108,110.9
Apr-21,108,124.1
May-21,108,183.1
Jun-21,108,21.4
