xmin,xmax,ymin,ymax,zmin,zmax
3,4.027777778,2,3.027777778,1,2
4,5.027777778,2,3.027777778,1,2
5,6.027777778,2,3.027777778,1,2
6,7.027777778,2,3.027777778,1,2
7,8.027777778,2,3.027777778,1,2
8,9.027777778,2,3.027777778,1,2
9,10.02777778,2,3.027777778,1,2
10,11.02777778,2,3.027777778,1,2
11,12.02777778,2,3.027777778,1,2
1,2.027777778,3,4.027777778,1,2
2,3.027777778,3,4.027777778,1,2
3,4.027777778,3,4.027777778,1,2
4,5.027777778,3,4.027777778,1,2
5,6.027777778,3,4.027777778,1,2
6,7.027777778,3,4.027777778,1,2
7,8.027777778,3,4.027777778,1,2
8,9.027777778,3,4.027777778,1,2
9,10.02777778,3,4.027777778,1,2
10,11.02777778,3,4.027777778,1,2
11,12.02777778,3,4.027777778,1,2
12,13.02777778,3,4.027777778,1,2
13,14.02777778,3,4.027777778,1,2
1,2.027777778,4,5.027777778,1,2
2,3.027777778,4,5.027777778,1,2
3,4.027777778,4,5.027777778,1,2
4,5.027777778,4,5.027777778,1,2
5,6.027777778,4,5.027777778,1,2
6,7.027777778,4,5.027777778,1,2
7,8.027777778,4,5.027777778,1,2
8,9.027777778,4,5.027777778,1,2
9,10.02777778,4,5.027777778,1,2
10,11.02777778,4,5.027777778,1,2
11,12.02777778,4,5.027777778,1,2
12,13.02777778,4,5.027777778,1,2
13,14.02777778,4,5.027777778,1,2
1,2.027777778,5,6.027777778,1,2
2,3.027777778,5,6.027777778,1,2
3,4.027777778,5,6.027777778,1,2
4,5.027777778,5,6.027777778,1,2
5,6.027777778,5,6.027777778,1,2
6,7.027777778,5,6.027777778,1,2
7,8.027777778,5,6.027777778,1,2
8,9.027777778,5,6.027777778,1,2
9,10.02777778,5,6.027777778,1,2
10,11.02777778,5,6.027777778,1,2
11,12.02777778,5,6.027777778,1,2
12,13.02777778,5,6.027777778,1,2
13,14.02777778,5,6.027777778,1,2
14,15.02777778,5,6.027777778,1,2
1,2.027777778,6,7.027777778,1,2
2,3.027777778,6,7.027777778,1,2
3,4.027777778,6,7.027777778,1,2
4,5.027777778,6,7.027777778,1,2
5,6.027777778,6,7.027777778,1,2
6,7.027777778,6,7.027777778,1,2
7,8.027777778,6,7.027777778,1,2
8,9.027777778,6,7.027777778,1,2
9,10.02777778,6,7.027777778,1,2
10,11.02777778,6,7.027777778,1,2
11,12.02777778,6,7.027777778,1,2
12,13.02777778,6,7.027777778,1,2
13,14.02777778,6,7.027777778,1,2
1,2.027777778,7,8.027777778,1,2
2,3.027777778,7,8.027777778,1,2
3,4.027777778,7,8.027777778,1,2
4,5.027777778,7,8.027777778,1,2
5,6.027777778,7,8.027777778,1,2
6,7.027777778,7,8.027777778,1,2
7,8.027777778,7,8.027777778,1,2
8,9.027777778,7,8.027777778,1,2
9,10.02777778,7,8.027777778,1,2
10,11.02777778,7,8.027777778,1,2
11,12.02777778,7,8.027777778,1,2
12,13.02777778,7,8.027777778,1,2
13,14.02777778,7,8.027777778,1,2
3,4.027777778,8,9.027777778,1,2
4,5.027777778,8,9.027777778,1,2
5,6.027777778,8,9.027777778,1,2
6,7.027777778,8,9.027777778,1,2
7,8.027777778,8,9.027777778,1,2
8,9.027777778,8,9.027777778,1,2
9,10.02777778,8,9.027777778,1,2
10,11.02777778,8,9.027777778,1,2
11,12.02777778,8,9.027777778,1,2
8,9.027777778,1,2.027777778,2,3
9,10.02777778,1,2.027777778,2,3
10,11.02777778,1,2.027777778,2,3
1,2.027777778,2,3.027777778,2,3
2,3.027777778,2,3.027777778,2,3
3,4.027777778,2,3.027777778,2,3
4,5.027777778,2,3.027777778,2,3
5,6.027777778,2,3.027777778,2,3
6,7.027777778,2,3.027777778,2,3
7,8.027777778,2,3.027777778,2,3
8,9.027777778,2,3.027777778,2,3
9,10.02777778,2,3.027777778,2,3
10,11.02777778,2,3.027777778,2,3
11,12.02777778,2,3.027777778,2,3
12,13.02777778,2,3.027777778,2,3
1,2.027777778,3,4.027777778,2,3
2,3.027777778,3,4.027777778,2,3
3,4.027777778,3,4.027777778,2,3
11,12.02777778,3,4.027777778,2,3
12,13.02777778,3,4.027777778,2,3
13,14.02777778,3,4.027777778,2,3
14,15.02777778,3,4.027777778,2,3
1,2.027777778,4,5.027777778,2,3
13,14.02777778,4,5.027777778,2,3
14,15.02777778,4,5.027777778,2,3
1,2.027777778,5,6.027777778,2,3
2,3.027777778,5,6.027777778,2,3
13,14.02777778,5,6.027777778,2,3
14,15.02777778,5,6.027777778,2,3
15,16.02777778,5,6.027777778,2,3
1,2.027777778,6,7.027777778,2,3
13,14.02777778,6,7.027777778,2,3
14,15.02777778,6,7.027777778,2,3
1,2.027777778,7,8.027777778,2,3
2,3.027777778,7,8.027777778,2,3
3,4.027777778,7,8.027777778,2,3
11,12.02777778,7,8.027777778,2,3
12,13.02777778,7,8.027777778,2,3
13,14.02777778,7,8.027777778,2,3
14,15.02777778,7,8.027777778,2,3
1,2.027777778,8,9.027777778,2,3
2,3.027777778,8,9.027777778,2,3
3,4.027777778,8,9.027777778,2,3
4,5.027777778,8,9.027777778,2,3
5,6.027777778,8,9.027777778,2,3
6,7.027777778,8,9.027777778,2,3
7,8.027777778,8,9.027777778,2,3
8,9.027777778,8,9.027777778,2,3
9,10.02777778,8,9.027777778,2,3
10,11.02777778,8,9.027777778,2,3
11,12.02777778,8,9.027777778,2,3
12,13.02777778,8,9.027777778,2,3
4,5.027777778,1,2.027777778,3,4
5,6.027777778,1,2.027777778,3,4
6,7.027777778,1,2.027777778,3,4
7,8.027777778,1,2.027777778,3,4
8,9.027777778,1,2.027777778,3,4
9,10.02777778,1,2.027777778,3,4
10,11.02777778,1,2.027777778,3,4
11,12.02777778,1,2.027777778,3,4
12,13.02777778,1,2.027777778,3,4
1,2.027777778,2,3.027777778,3,4
2,3.027777778,2,3.027777778,3,4
3,4.027777778,2,3.027777778,3,4
4,5.027777778,2,3.027777778,3,4
5,6.027777778,2,3.027777778,3,4
6,7.027777778,2,3.027777778,3,4
7,8.027777778,2,3.027777778,3,4
8,9.027777778,2,3.027777778,3,4
9,10.02777778,2,3.027777778,3,4
10,11.02777778,2,3.027777778,3,4
11,12.02777778,2,3.027777778,3,4
12,13.02777778,2,3.027777778,3,4
13,14.02777778,2,3.027777778,3,4
14,15.02777778,2,3.027777778,3,4
1,2.027777778,3,4.027777778,3,4
2,3.027777778,3,4.027777778,3,4
3,4.027777778,3,4.027777778,3,4
4,5.027777778,3,4.027777778,3,4
5,6.027777778,3,4.027777778,3,4
6,7.027777778,3,4.027777778,3,4
7,8.027777778,3,4.027777778,3,4
8,9.027777778,3,4.027777778,3,4
9,10.02777778,3,4.027777778,3,4
10,11.02777778,3,4.027777778,3,4
11,12.02777778,3,4.027777778,3,4
12,13.02777778,3,4.027777778,3,4
13,14.02777778,3,4.027777778,3,4
14,15.02777778,3,4.027777778,3,4
15,16.02777778,3,4.027777778,3,4
1,2.027777778,4,5.027777778,3,4
2,3.027777778,4,5.027777778,3,4
3,4.027777778,4,5.027777778,3,4
4,5.027777778,4,5.027777778,3,4
5,6.027777778,4,5.027777778,3,4
6,7.027777778,4,5.027777778,3,4
7,8.027777778,4,5.027777778,3,4
8,9.027777778,4,5.027777778,3,4
9,10.02777778,4,5.027777778,3,4
10,11.02777778,4,5.027777778,3,4
11,12.02777778,4,5.027777778,3,4
14,15.02777778,4,5.027777778,3,4
15,16.02777778,4,5.027777778,3,4
1,2.027777778,5,6.027777778,3,4
2,3.027777778,5,6.027777778,3,4
3,4.027777778,5,6.027777778,3,4
4,5.027777778,5,6.027777778,3,4
5,6.027777778,5,6.027777778,3,4
6,7.027777778,5,6.027777778,3,4
7,8.027777778,5,6.027777778,3,4
8,9.027777778,5,6.027777778,3,4
9,10.02777778,5,6.027777778,3,4
10,11.02777778,5,6.027777778,3,4
11,12.02777778,5,6.027777778,3,4
14,15.02777778,5,6.027777778,3,4
15,16.02777778,5,6.027777778,3,4
16,17.02777778,5,6.027777778,3,4
1,2.027777778,6,7.027777778,3,4
2,3.027777778,6,7.027777778,3,4
3,4.027777778,6,7.027777778,3,4
4,5.027777778,6,7.027777778,3,4
5,6.027777778,6,7.027777778,3,4
6,7.027777778,6,7.027777778,3,4
7,8.027777778,6,7.027777778,3,4
8,9.027777778,6,7.027777778,3,4
9,10.02777778,6,7.027777778,3,4
10,11.02777778,6,7.027777778,3,4
11,12.02777778,6,7.027777778,3,4
14,15.02777778,6,7.027777778,3,4
15,16.02777778,6,7.027777778,3,4
1,2.027777778,7,8.027777778,3,4
2,3.027777778,7,8.027777778,3,4
3,4.027777778,7,8.027777778,3,4
4,5.027777778,7,8.027777778,3,4
5,6.027777778,7,8.027777778,3,4
6,7.027777778,7,8.027777778,3,4
7,8.027777778,7,8.027777778,3,4
8,9.027777778,7,8.027777778,3,4
9,10.02777778,7,8.027777778,3,4
10,11.02777778,7,8.027777778,3,4
11,12.02777778,7,8.027777778,3,4
12,13.02777778,7,8.027777778,3,4
13,14.02777778,7,8.027777778,3,4
14,15.02777778,7,8.027777778,3,4
15,16.02777778,7,8.027777778,3,4
1,2.027777778,8,9.027777778,3,4
2,3.027777778,8,9.027777778,3,4
3,4.027777778,8,9.027777778,3,4
4,5.027777778,8,9.027777778,3,4
5,6.027777778,8,9.027777778,3,4
6,7.027777778,8,9.027777778,3,4
7,8.027777778,8,9.027777778,3,4
8,9.027777778,8,9.027777778,3,4
9,10.02777778,8,9.027777778,3,4
10,11.02777778,8,9.027777778,3,4
11,12.02777778,8,9.027777778,3,4
12,13.02777778,8,9.027777778,3,4
13,14.02777778,8,9.027777778,3,4
14,15.02777778,8,9.027777778,3,4
3,4.027777778,1,2.027777778,4,5
4,5.027777778,1,2.027777778,4,5
5,6.027777778,1,2.027777778,4,5
6,7.027777778,1,2.027777778,4,5
7,8.027777778,1,2.027777778,4,5
8,9.027777778,1,2.027777778,4,5
9,10.02777778,1,2.027777778,4,5
10,11.02777778,1,2.027777778,4,5
11,12.02777778,1,2.027777778,4,5
12,13.02777778,1,2.027777778,4,5
13,14.02777778,1,2.027777778,4,5
1,2.027777778,2,3.027777778,4,5
2,3.027777778,2,3.027777778,4,5
3,4.027777778,2,3.027777778,4,5
4,5.027777778,2,3.027777778,4,5
5,6.027777778,2,3.027777778,4,5
6,7.027777778,2,3.027777778,4,5
7,8.027777778,2,3.027777778,4,5
8,9.027777778,2,3.027777778,4,5
9,10.02777778,2,3.027777778,4,5
10,11.02777778,2,3.027777778,4,5
11,12.02777778,2,3.027777778,4,5
12,13.02777778,2,3.027777778,4,5
13,14.02777778,2,3.027777778,4,5
14,15.02777778,2,3.027777778,4,5
1,2.027777778,3,4.027777778,4,5
4,5.027777778,3,4.027777778,4,5
5,6.027777778,3,4.027777778,4,5
6,7.027777778,3,4.027777778,4,5
7,8.027777778,3,4.027777778,4,5
8,9.027777778,3,4.027777778,4,5
10,11.02777778,3,4.027777778,4,5
11,12.02777778,3,4.027777778,4,5
14,15.02777778,3,4.027777778,4,5
15,16.02777778,3,4.027777778,4,5
1,2.027777778,4,5.027777778,4,5
4,5.027777778,4,5.027777778,4,5
5,6.027777778,4,5.027777778,4,5
6,7.027777778,4,5.027777778,4,5
7,8.027777778,4,5.027777778,4,5
8,9.027777778,4,5.027777778,4,5
11,12.02777778,4,5.027777778,4,5
15,16.02777778,4,5.027777778,4,5
16,17.02777778,4,5.027777778,4,5
1,2.027777778,5,6.027777778,4,5
2,3.027777778,5,6.027777778,4,5
4,5.027777778,5,6.027777778,4,5
6,7.027777778,5,6.027777778,4,5
7,8.027777778,5,6.027777778,4,5
11,12.02777778,5,6.027777778,4,5
15,16.02777778,5,6.027777778,4,5
16,17.02777778,5,6.027777778,4,5
1,2.027777778,6,7.027777778,4,5
4,5.027777778,6,7.027777778,4,5
5,6.027777778,6,7.027777778,4,5
6,7.027777778,6,7.027777778,4,5
7,8.027777778,6,7.027777778,4,5
8,9.027777778,6,7.027777778,4,5
11,12.02777778,6,7.027777778,4,5
15,16.02777778,6,7.027777778,4,5
16,17.02777778,6,7.027777778,4,5
1,2.027777778,7,8.027777778,4,5
4,5.027777778,7,8.027777778,4,5
5,6.027777778,7,8.027777778,4,5
6,7.027777778,7,8.027777778,4,5
7,8.027777778,7,8.027777778,4,5
8,9.027777778,7,8.027777778,4,5
10,11.02777778,7,8.027777778,4,5
11,12.02777778,7,8.027777778,4,5
14,15.02777778,7,8.027777778,4,5
15,16.02777778,7,8.027777778,4,5
1,2.027777778,8,9.027777778,4,5
2,3.027777778,8,9.027777778,4,5
3,4.027777778,8,9.027777778,4,5
4,5.027777778,8,9.027777778,4,5
5,6.027777778,8,9.027777778,4,5
6,7.027777778,8,9.027777778,4,5
7,8.027777778,8,9.027777778,4,5
8,9.027777778,8,9.027777778,4,5
9,10.02777778,8,9.027777778,4,5
10,11.02777778,8,9.027777778,4,5
11,12.02777778,8,9.027777778,4,5
12,13.02777778,8,9.027777778,4,5
13,14.02777778,8,9.027777778,4,5
14,15.02777778,8,9.027777778,4,5
7,8.027777778,1,2.027777778,5,6
8,9.027777778,1,2.027777778,5,6
9,10.02777778,1,2.027777778,5,6
10,11.02777778,1,2.027777778,5,6
11,12.02777778,1,2.027777778,5,6
12,13.02777778,1,2.027777778,5,6
13,14.02777778,1,2.027777778,5,6
11,12.02777778,2,3.027777778,5,6
12,13.02777778,2,3.027777778,5,6
13,14.02777778,2,3.027777778,5,6
14,15.02777778,2,3.027777778,5,6
15,16.02777778,2,3.027777778,5,6
4,5.027777778,3,4.027777778,5,6
5,6.027777778,3,4.027777778,5,6
6,7.027777778,3,4.027777778,5,6
7,8.027777778,3,4.027777778,5,6
8,9.027777778,3,4.027777778,5,6
10,11.02777778,3,4.027777778,5,6
11,12.02777778,3,4.027777778,5,6
12,13.02777778,3,4.027777778,5,6
14,15.02777778,3,4.027777778,5,6
15,16.02777778,3,4.027777778,5,6
16,17.02777778,3,4.027777778,5,6
1,2.027777778,4,5.027777778,5,6
4,5.027777778,4,5.027777778,5,6
5,6.027777778,4,5.027777778,5,6
6,7.027777778,4,5.027777778,5,6
7,8.027777778,4,5.027777778,5,6
11,12.02777778,4,5.027777778,5,6
12,13.02777778,4,5.027777778,5,6
15,16.02777778,4,5.027777778,5,6
16,17.02777778,4,5.027777778,5,6
1,2.027777778,5,6.027777778,5,6
2,3.027777778,5,6.027777778,5,6
4,5.027777778,5,6.027777778,5,6
6,7.027777778,5,6.027777778,5,6
7,8.027777778,5,6.027777778,5,6
11,12.02777778,5,6.027777778,5,6
12,13.02777778,5,6.027777778,5,6
16,17.02777778,5,6.027777778,5,6
1,2.027777778,6,7.027777778,5,6
4,5.027777778,6,7.027777778,5,6
5,6.027777778,6,7.027777778,5,6
6,7.027777778,6,7.027777778,5,6
7,8.027777778,6,7.027777778,5,6
11,12.02777778,6,7.027777778,5,6
12,13.02777778,6,7.027777778,5,6
15,16.02777778,6,7.027777778,5,6
16,17.02777778,6,7.027777778,5,6
4,5.027777778,7,8.027777778,5,6
5,6.027777778,7,8.027777778,5,6
6,7.027777778,7,8.027777778,5,6
7,8.027777778,7,8.027777778,5,6
8,9.027777778,7,8.027777778,5,6
10,11.02777778,7,8.027777778,5,6
11,12.02777778,7,8.027777778,5,6
12,13.02777778,7,8.027777778,5,6
14,15.02777778,7,8.027777778,5,6
15,16.02777778,7,8.027777778,5,6
16,17.02777778,7,8.027777778,5,6
11,12.02777778,8,9.027777778,5,6
12,13.02777778,8,9.027777778,5,6
13,14.02777778,8,9.027777778,5,6
14,15.02777778,8,9.027777778,5,6
15,16.02777778,8,9.027777778,5,6
7,8.027777778,8,9.027777778,5,6
8,9.027777778,8,9.027777778,5,6
9,10.02777778,8,9.027777778,5,6
10,11.02777778,8,9.027777778,5,6
10,11.02777778,1,2.027777778,6,7
11,12.02777778,1,2.027777778,6,7
12,13.02777778,1,2.027777778,6,7
13,14.02777778,1,2.027777778,6,7
14,15.02777778,1,2.027777778,6,7
12,13.02777778,2,3.027777778,6,7
13,14.02777778,2,3.027777778,6,7
14,15.02777778,2,3.027777778,6,7
15,16.02777778,2,3.027777778,6,7
4,5.027777778,3,4.027777778,6,7
5,6.027777778,3,4.027777778,6,7
6,7.027777778,3,4.027777778,6,7
7,8.027777778,3,4.027777778,6,7
8,9.027777778,3,4.027777778,6,7
10,11.02777778,3,4.027777778,6,7
11,12.02777778,3,4.027777778,6,7
12,13.02777778,3,4.027777778,6,7
13,14.02777778,3,4.027777778,6,7
14,15.02777778,3,4.027777778,6,7
15,16.02777778,3,4.027777778,6,7
16,17.02777778,3,4.027777778,6,7
4,5.027777778,4,5.027777778,6,7
5,6.027777778,4,5.027777778,6,7
6,7.027777778,4,5.027777778,6,7
7,8.027777778,4,5.027777778,6,7
11,12.02777778,4,5.027777778,6,7
12,13.02777778,4,5.027777778,6,7
13,14.02777778,4,5.027777778,6,7
14,15.02777778,4,5.027777778,6,7
15,16.02777778,4,5.027777778,6,7
16,17.02777778,4,5.027777778,6,7
4,5.027777778,5,6.027777778,6,7
6,7.027777778,5,6.027777778,6,7
7,8.027777778,5,6.027777778,6,7
11,12.02777778,5,6.027777778,6,7
12,13.02777778,5,6.027777778,6,7
13,14.02777778,5,6.027777778,6,7
